bib_id,cite_key,section,pdf_page_start,pdf_page_end,abbreviation,authors_raw,year,title,publication_or_container,urls,doi,pages,type_guess,parse_confidence,raw_reference
B0795,schrijver-fthc,print,486,486,,"Schrijver, Peter",fthc.,East Caucaisan Perspectives on the Origin of the Word ‘Camel’ and Some Notes on Europeal Substrate Lexemes,"In Kroonen, Guus (ed.). Sub-Indo-European Europe: Continuity and discontinuity in the linguistic landscape of prehistoric Europe. Berlin/Boston: De Gruyter Mouton.",,,,chapter_or_edited_volume,medium,"Schrijver, Peter. fthc. East Caucaisan Perspectives on the Origin of the Word ‘Camel’ and Some Notes on Europeal Substrate Lexemes. In Kroonen, Guus (ed.). Sub-Indo-European Europe: Continuity and discontinuity in the linguistic landscape of prehistoric Europe. Berlin/Boston: De Gruyter Mouton."
B0796,schroeder-1930-31,print,486,486,,"Schroeder, Otto",1930-31,Assyrische Gefässnamen,Archiv für Orientalforschung 6: 111-12.,,,111-12,journal_article,medium,"Schroeder, Otto. 1930-31. Assyrische Gefässnamen. Archiv für Orientalforschung 6: 111-12."
B0797,schuchardt-1918,print,486,486,,"Schuchardt, Hugo",1918,Die romanischen Lehnwörter im Berberischen,"(Kaiserliche Akademie der Wissenschaften in Wien, Philosophisch-historische Klasse 188 [4]). Vienna: k.u.k. Hof- und Universitäts-Buchhändler.",,,,book_or_monograph,medium,"Schuchardt, Hugo. 1918. Die romanischen Lehnwörter im Berberischen. (Kaiserliche Akademie der Wissenschaften in Wien, Philosophisch-historische Klasse 188 [4]). Vienna: k.u.k. Hof- und Universitäts-Buchhändler."
B0798,schuchardt-1922,print,486,486,,"Schuchardt, Hugo",1922,Heimisches und fremdes Sprachgut,Revista Internacional de los Estudios Vascos 13(1): 69-82.,,,69-82,journal_article,medium,"Schuchardt, Hugo. 1922. Heimisches und fremdes Sprachgut. Revista Internacional de los Estudios Vascos 13(1): 69-82."
B0799,schulze-1895,print,486,486,,"Schulze, Wilhelm",1895,Ἀρταξάρης,λίτρα. KZ 33(2): 214-24.,,,214-24,journal_article,medium,"Schulze, Wilhelm. 1895. Ἀρταξάρης. λίτρα. KZ 33(2): 214-24."
B0800,schulze-1933,print,486,486,,"Schulze, Wilhelm",1933,Kleine Schriften von Wilhelm Schulze zum 70,Geburtstag am 15. Dezember 1933. Göttingen: Vandenhoeck & Ruprecht.,,,,book_or_monograph,medium,"Schulze, Wilhelm. 1933. Kleine Schriften von Wilhelm Schulze zum 70. Geburtstag am 15. Dezember 1933. Göttingen: Vandenhoeck & Ruprecht."
B0801,schumacher-2004,print,486,486,,"Schumacher, Stefan",2004,Die Keltischen Primärverben,Innsbruck: IBS.,,,,book_or_monograph,medium,"Schumacher, Stefan. 2004. Die Keltischen Primärverben. Innsbruck: IBS."
B0802,schumacher-2013,print,486,486,,"Schumacher, Stefan and Joachim Matzinger",2013,Die Verben des Altalbanischen,Wiesbaden: Harrassowitz.,,,,book_or_monograph,medium,"Schumacher, Stefan and Joachim Matzinger. 2013. Die Verben des Altalbanischen. Wiesbaden: Harrassowitz."
B0803,schwarz-2008,print,486,486,,"Schwarz, Martin",2008,"Iranian *L, and Some Perisan and Zaza Etymologies",Iran and the Caucasus 12: 281-7.,,,281-7,journal_article,medium,"Schwarz, Martin. 2008. Iranian *L, and Some Perisan and Zaza Etymologies. Iran and the Caucasus 12: 281-7."
B0804,schwenzer-2004,print,486,486,,"Schwenzer, Stefan",2004,Frühbronzezeitliche Vollgriffdolche,"Typologische, Chronologische und Technische Studien auf der Grundlage der Materialaufnahme von Hans-Jürgen Hundt. Mainz: Verlag des Römisch-Germanischen Zentralmuseums.",,,,book_or_monograph,medium,"Schwenzer, Stefan. 2004. Frühbronzezeitliche Vollgriffdolche. Typologische, Chronologische und Technische Studien auf der Grundlage der Materialaufnahme von Hans-Jürgen Hundt. Mainz: Verlag des Römisch-Germanischen Zentralmuseums."
B0805,schwyzer-1913,print,486,486,,"Schwyzer, Eduard",1913,Zur griechischen Laut- und Wortbildungslehre,Glotta 5(3): 193-7.,,,193-7,journal_article,medium,"Schwyzer, Eduard. 1913. Zur griechischen Laut- und Wortbildungslehre. Glotta 5(3): 193-7."
B0806,schwyzer-1930,print,486,486,,"Schwyzer, Eduard",1930,Die Bezeichnung des Zahnfleisches in den indogermanischen Sprachen,KZ 57(3/4): 256-75.,,,256-75,other,medium,"Schwyzer, Eduard. 1930. Die Bezeichnung des Zahnfleisches in den indogermanischen Sprachen. KZ 57(3/4): 256-75."
B0807,schwyzer-1931,print,486,486,,"Schwyzer, Eduard",1931,Griechische Interjektionen und griechische Buchstabennamen auf -α,Mit Exkursen über die Geschichte der Buchstabennamen und des Wortes Alphabet. KZ 58(3/4): 170-205.,,,170-205,other,medium,"Schwyzer, Eduard. 1931. Griechische Interjektionen und griechische Buchstabennamen auf -α. Mit Exkursen über die Geschichte der Buchstabennamen und des Wortes Alphabet. KZ 58(3/4): 170-205."
B0808,schwyzer-1934,print,486,486,,"Schwyzer, Eduard",1934,"Dissimilatorische Geminatenauflösung als Folge von Übersteigerung, zunächst im Neugriechischen und im Spätaltgriechischen",KZ 61(3/4): 222-52.,,,222-52,other,medium,"Schwyzer, Eduard. 1934. Dissimilatorische Geminatenauflösung als Folge von Übersteigerung, zunächst im Neugriechischen und im Spätaltgriechischen. KZ 61(3/4): 222-52."
B0809,schwyzer-1939-50,print,486,486,,"Schwyzer, Eduard",1939-50,Griechische Grammatik,"Vol. I-II. [Vol. I 5th ed. 1977, Vol. II 4th ed. 1975]. Munich: C.H. Beck.",,,,book_or_monograph,medium,"Schwyzer, Eduard. 1939-50. Griechische Grammatik. Vol. I-II. [Vol. I 5th ed. 1977, Vol. II 4th ed. 1975]. Munich: C.H. Beck."
B0810,sebastian-2010,print,487,487,,"Sebastian, Patrizia, Hanno Schaefer, Ian R.H. Telford, and Susanne S. Renner",2010,Cucumber (Cucumis sativus) and melon (C,"melo) have numerous wild relatives in Asia and Australia, and the sister species of melon is from Australia. PNAS 107(32): 14269-14273.",,,14269-14273,journal_article,medium,"Sebastian, Patrizia, Hanno Schaefer, Ian R.H. Telford, and Susanne S. Renner. 2010. Cucumber (Cucumis sativus) and melon (C. melo) have numerous wild relatives in Asia and Australia, and the sister species of melon is from Australia. PNAS 107(32): 14269-14273."
