statement_id,entry_id,pdf_page_range,section,primary_headword,entry_heading,statement_type,statement_markdown,reconstructed_forms_in_statement,glosses_in_statement,char_flags
liv2add-0049-s01,liv2add-0049,19,*d,*dreu̯H-,*dreu̯H-,Präsens,"Präsens
*dréu̯H-e- waxi (+) draw- ‘ernten, mähen’ (CHEUNG, EDIV 79 mit Lit.)",*dréu̯H-e-,"ernten, mähen",contains-combining-marks
liv2add-0050-s01,liv2add-0050,19,*d,*du̯eh₂-,"Neu: *du̯eh₂- ‘entfernen, abtrennen’1",Desiderativ,"Desiderativ ?*du̯éh₂/duh₂-s-
heth. tuhhuszi ‘trennt’, tuhuhsa ‘ist getrennt’2",*du̯éh₂/duh₂-s-,trennt; ist getrennt,contains-combining-marks; contains-subscript-numerals
liv2add-0056-s01,liv2add-0056,19,*dʰ,*dʰei̯g̑ʰ-,*dʰei̯g̑ʰ-,Zum Präsens,"Zum Präsens auch …; [parth. (+) dys- ‘bauen’ < *daisa-, für *daiz-a- wohl nach Formen wie 3s *daisti < *daiz-(a)ti, vgl. CHEUNG, EDIV 53.",*daisa-; *daiz-a-; *daisti; *daiz-(a)ti,bauen,
liv2add-0057-s01,liv2add-0057,19-20,*dʰ,*dʰei̯H-,*dʰei̯H- → *dʰeH(i)-,Präsens,"Präsens
?*dʰiH-i̯é-",*dʰiH-i̯é-,,contains-combining-marks
liv2add-0057-s02,liv2add-0057,19-20,*dʰ,*dʰei̯H-,*dʰei̯H- → *dʰeH(i)-,Perfekt,"Perfekt
*dʰe-dʰóHi/dʰHi-
Anm. 1 ... Zur Wurzelgestalt vgl. SCHINDLER 1972: ; LUBOTSKY 2001: 122; CANTERA, Faventia 34-
36, 2012-2014, 94-5. Nach Lubotsky Erweiterung zu 1.*dʰeh₁-, also *dʰeh₁(i)-.",*dʰe-dʰóHi/dʰHi-; *dʰeh₁-; *dʰeh₁(i)-,,contains-subscript-numerals
liv2add-0059-s01,liv2add-0059,20,*dʰ,*dʰalh₁-,*dʰalh₁- → *dʰelh₁-,Aorist,"Aorist
*dʰélh₁-/dʰl̥h₁- [gr. ἔϑαλον ‘quoll, strotzte’",*dʰélh₁-/dʰl̥h₁-,"quoll, strotzte",contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0059-s02,liv2add-0059,20,*dʰ,*dʰalh₁-,*dʰalh₁- → *dʰelh₁-,Zum Präsens,"Zum Präsens auch [mkymr. deillyaw* ‘hervorgehen aus’3a

Neubildung: Perfekt gr. τέϑηλα, dor. τέϑᾱλα ‘blühe’5 alb. Aor. doll-/duall- ‘hinausgehen’6",,hervorgehen aus; blühe; hinausgehen,contains-greek
liv2add-0061-s01,liv2add-0061,20-21,*dʰ,*dʰengʰ-,"Neu: *dʰengʰ- ‚sich erheben, wachsen‘1 IEW 250",Aorist,"Aorist
?*dʰéngʰ-/dʰn̥gʰ-
toch.B tsaṅka ‘erhob sich’
[urslav. *dęgъ ‘wurde stark’2",*dʰéngʰ-/dʰn̥gʰ-; *dęgъ,erhob sich; wurde stark,contains-combining-marks
liv2add-0061-s02,liv2add-0061,20-21,*dʰ,*dʰengʰ-,"Neu: *dʰengʰ- ‚sich erheben, wachsen‘1 IEW 250",Neubildungen,"Neubildungen:
toch.B Konj. tsāṅkaṃ ‘wird sich erheben’; Präs. tseṅketär ‘erhebt sich’
Nasalpräsens
russ. (+) dial. djágnut' ‘wachsen, stark werden’",,wird sich erheben; erhebt sich;  ,
liv2add-0062-s01,liv2add-0062,21,*dʰ,*dʰengʷʰ-,Neu: *dʰengʷʰ- ‘bedecken; verdunkeln’1 IEW 250,Aorist,"Aorist
?*dʰéngʷʰ-/dʰn̥gʷʰ-
[lit. deñgė ‘bedeckte’, diñgo ‘verschwand’2
?[urslav. *dęgъ ‘bedeckte’3",*dʰéngʷʰ-/dʰn̥gʷʰ-; *dęgъ,bedeckte; verschwand; bedeckte,contains-combining-marks
