type	key_or_author	entry
reference	Burgess, C. & B. O’Connor	Burgess, C. & B. O’Connor 2008 ‘Iberia, the Atlantic Bronze Age and the Mediterranean’, Contacto cultural entre el Mediterráneo y el Atlántico (siglos XII–VIII ANE), La precolonización a debate, N. Rafel & X-L. Armada, Serie Arqueológica 11, ed. S. Celestino, 41–58. Madrid, Escuela Española de Historia y Arqueología en Roma CSIC.
reference	Busse, P. E., & J. T. Koch	Busse, P. E., & J. T. Koch 2006a ‘Cimbri and Teutones’, Celtic Culture: A Historical Encyclopedia, ed. J. T. Koch, vol 2, 437. Santa Barbara, ABC-Clio.
reference	Busse, P. E., & J. T. Koch	Busse, P. E., & J. T. Koch 2006b ‘Togail Bruidne Da
reference	Derga’,	Derga’, Celtic Culture: A Historical Encyclopedia, ed.
reference	J. T. Koch, vol 5	J. T. Koch, vol 5, 1677–9. Santa Barbara, ABC-Clio.
reference	Carey, J.	Carey, J. 2014 ‘A Poem on the Troubles before the Last Days’, The End and Beyond: Medieval Irish
reference	Eschatology,	Eschatology, Celtic Studies Publications 18, ed. J. Carey, E. Nic Cárthaigh, & C. Ó Dochartaigh, 607– 27. Aberystwyth, Celtic Studies Publications.
reference	Carey, J.	Carey, J. 2019 Magic, Metallurgy and Imagination in Medieval Ireland, Celtic Studies Publications 21.
reference	Aberystwyth, Celtic Studies Publications. Cassidy, L. M., R. Martiniano, E. M. Murphy, M. D. Teasdale, J. Mallory, B. Hartwell & D. G. Bradley	Aberystwyth, Celtic Studies Publications. Cassidy, L. M., R. Martiniano, E. M. Murphy, M. D. Teasdale, J. Mallory, B. Hartwell & D. G. Bradley 2016 ‘Neolithic and Bronze Age migration to Ireland and establishment of the insular Atlantic genome’, PNAS 113 (2), 368–73.
reference	Castillo, C., J. Gómez-Pantoja & Mª. D. Mauleón	Castillo, C., J. Gómez-Pantoja & Mª. D. Mauleón 1981 Inscripciones romanas del Museo de Navarra. Pamplona.
reference	Celestino Pérez, S.	Celestino Pérez, S. 2001 Estelas de guerrero y stelas diademadas: La precolonización y formación del mundo tartésico. Barcelona, Edicions Bellaterra.
reference	Chadwick, J.	Chadwick, J. 1992 The Decipherment of Linear B. Cambridge University Press. 4th edn, first published 1958.
reference	Chang, W., C. Cathcart, D. Hall, & A. Garrett	Chang, W., C. Cathcart, D. Hall, & A. Garrett 2015 ‘Ancestry-Constrained Phylogenetic Analysis Supports the Indo-European Steppe Hypothesis’, Language 91/ 1, 194–244.
reference	Charles-Edwards, T. M.	Charles-Edwards, T. M. 1974 ‘Native Political Organisation in Roman Britain and the Origin of Middle Welsh Brenhin’, Antiquitates Indogermanicae, ed. M. Mayrhofer et al., 35–45. Innsbruk.
reference	Charles-Edwards, T. M.	Charles-Edwards, T. M. 2013 Wales and the Britons 350–1064. Oxford, Oxford University Press.
reference	Childe, V. G.	Childe, V. G. 1926 The Aryans: A study of Indo-European origins. London, Kegan Paul.
reference	Clackson, J., & G. Horrocks	Clackson, J., & G. Horrocks 2007 The Blackwell History of the Latin Language. Malden & Oxford, Blackwell.
reference	Clark, G.	Clark, G. 1966 ‘The Invasion Hypothesis in British
reference	Archaeology’,	Archaeology’, Antiquity 40, 172–89.
reference	Clausen, B. L.	Clausen, B. L. 1993 Tomoko. En krigskano fra Salo- monøerne. Roskilde, Viking Ship Museum.
reference	Cleary, K.	Cleary, K. 2016 ‘Burial Practices in Ireland during the Late Third Millennium BC: connecting new ideologies with local expressions’, Celtic from the West 3: Atlantic Europe in the Metal Ages — questions of shared language, Celtic Studies Publications 19, ed. Koch, Cunliffe, Cleary, Gibson, 139–78. Oxford, Oxbow Books.
reference	Cleary, K. & C. Gibson	Cleary, K. & C. Gibson 2019 ‘Connectivity in Atlantic Europe during the Bronze Age (2800–800 BC)’, Exploring Celtic Origins: New ways forward in archaeology, linguistics, and genetics, Celtic Studies Publications 22, ed. B. Cunliffe & J. T. Koch, 80–116.
reference	Oxford,	Oxford, Oxbow Books.
reference	Cowgill, W.	Cowgill, W. 1970 ‘Italic and Celtic Superlatives and the Dialects of Indo-European’, Indo-European and Indo-Europeans, ed. G. Cardona et al., 113–53.
reference	Philadelphia,	Philadelphia, University of Pennsylvania Press.
reference	Crumlin-Pedersen, O., & A. Trakadas (eds)	Crumlin-Pedersen, O., & A. Trakadas (eds) 2003 Hjortspring. A Pre-Roman Iron-Age Warship in Context. Ships and Boats of the North 5. Roskilde, Viking Ship Museum.
