headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
aiwjan-,,w.v.,to graze,54,pret. aoa,,"ON <Eja w.v. (pret. aoa) 'to rest, eat', Du. eeuwen w.v. 'to feed, graze' (GM). Usually interpreted as a causative formation to the root \*h₂eKH- 'to eat', cf. Skt. iifayati 'to make eat' (for which cf. \*agana-), starting from a proto-form \*ahjan-. Still, the implied PIE causative \*h₂o/{H-eie- should have given PGm. \*agjan-, ON \*egja, which is not the case. The connection with Du. eeuwen (also cf. MDu. eeusel n. 'pasture') < \*aiwjan- (cf. De Vries 1962: 681) is therefore preferable.",pdf-text-headword-found,
aiza-,,n.,"ore, brass",54,,,"Go. ais, gen. aizis n. 'ore', ON eir n. 'brass, copper', Ice!. eir n. 'brass, copper', OE iir, rer n. 'ore, brass, copper', E ore, OS er n. 'ore', MDu. eer n. 'copper, metal', OHG er n. 'ore', MHG er n. 'ore, iron'",pdf-text-headword-found,
h₂ei-es-,,(IE),,55,,,"Skt. ayas-, Av. aiiah- n. 'metal, copper', Lat. aes, aeris n. 'ore' < \*h₂ei-es-. A thematicized s-stem. The Germanic form developed from \*aizathrough \*ajez- < \*h₂ei-es- with regular loss of the medial e after j (cf. \*airi 'early' and \*laiza- 'clay'). The original PIE s-stem \*h₂ei-os, \*h₂(e)i-es-os may have been derived from the root \*h₂ei- 'to burn', cf. \*aida- and \*aison-. Also cf. OE reren, OHG erfn, G ehern adj. 'iron, brazen' < \*aizfna-.",not-found-in-pdf-text-layer,missing-or-unparsed-gloss
aizo-,,f.,"respect, benevolence",55,IE,\*h₂ois-eh₂- (IE),"ON eir f. 'mercy', OE ii.r f. 'honor, dignity; kindness, mercy', OFri. ere f. 'honor; tribute', Du. eer c. 'honor', OHG era f. 'id.', G Ehre f. 'id.'",pdf-text-headword-found,
ajja-,,n.,egg,55,IE,\*h₂6u-i6- (IE),"Go. Crim. ada n.pl. 'id.', ON egg n. 'id.', Far. egg n. 'id.', Elfd. egg n. 'id.', OE reg n. 'id.', WFri. aai n. 'id.', OS ei n. 'id.', Du. ei n. 'id.', OHG ei n. 'egg', G Ei n. 'id.'",pdf-text-headword-found,
akan-,1,s.v.,to drive,56,IE,\*h₂eg-e- (IE),"ON aka s.v. 'id.', Far. aka s.v. 'to drive; to push, shove', Elfd. aka s.v. 'to drive'",pdf-text-headword-found,
akan-,2,s.v.,to ache,56,IE,\*h₂13eg-e- (IE),"OE acan s.v. 'to ache', E to ache",pdf-text-headword-found,
akra-,1,m.,field,56,IE,\*h₂eg-ro(IE),"Go. akrs m. 'id.', ON akr m. 'id.', Far. akur m. 'id.', Elfd. aker m. 'uncultivated field', OE cecer m. 'field', OFri. ekker, eker m. 'id.', OS akkar m. 'id.', Du. akker c. 'id.', OHG ackar m. 'id.', G Acker m. 'id.'",pdf-text-headword-found,
akra-,2,n.(?),some kind of metal,56,IE?,\*h₂erg-ro-(?) (IE?),EDu. aecker 'id.',pdf-text-headword-found,
akrana-,,n.,"tree fruit, acorn",56,EUR/NIE?,\*ag-r (EUR/NIE?),"Go. akran n. 'fruit', ON akarn n. 'acorn', OSw. akarn n. 'id.', OE cecern n. 'id.', E acorn, MDu. aker m. 'id.', MHG ackeran m./n. 'acorn, beechnut', G Eckern n. 'acorn' (with intrusive umlaut from the plural)",pdf-text-headword-found,
alcwesi-,,f.,axe,57,NIE?,\*h₂egwis-ih₂-(?) (NIE?),"Go. aqizi f. 'id.', ON !i1X f. 'id.', Far. fiJks f. 'id.', Elfd. okse f. 'id.', OE rex f. 'id.', E axe, OFri. axe f. 'id.', OS akus f. 'id.', Du. aks c. 'id.', OHG ackus f. 'id.', G Axt f. 'id.'",pdf-text-headword-found,
alan-,,s.v.,to grow up; to rear,57,EUR,\*h₂el-e- (EUR),"Go. a/an s.v. 'to grow on, feed on', ON ala s.v. 'to give birth to, nourish, support'",pdf-text-headword-found,
ala(n)-,,m.,awl,57,IE,\*h₁ohrl6-(?) (IE),"ON air m. 'id.' ( < \*ala-), Nw. ale m. 'thin stick to dry meat on' ( < \*alan-)",pdf-text-headword-found,
alasno-,,f.,awl,58,ne,,"MLG alse, e/se(ne) 'id.', MDu. alsene, e/sen(e}, e/s{e) 'id.', Du. els c. 'id.', OHG a/ansa, alunsa f. 'id.' (DRV). A formation apparently created to \*ala- with the suffix \*-asno-, cf. Go. arfuazna 'arrow' and h/aiwazna 'grave'. The Middle Germanic forms with e-vocalism are sometimes assumed to point to a variant \*a/isno-, but the derivationally less problematic \*a/asnjo- would work, too.",pdf-text-headword-found,
albi-,,f.,river,58,GM,,"ON e/fr f. 'id.', Elfd. ove f. 'id.', MLG elve 'riverbed' (GM). Likely to be related to the name of the river Elbe.",pdf-text-headword-found,
a/but-,,f.,swan,58,NIE,\*a/bhVd- (NIE),"ON plpt, gen. alptar, elptr f. 'id.', Ice!. a/ft f. 'id.', OE ielfetu f. 'id.', E obs. elk(?) 'swan, goose', MHG a/biz, e/biz f. 'swan'",pdf-text-headword-found,suspicious-headword-characters
alda-,,adj.,(grown) old,58,DRV,\*h₂el-t6- (DRV),"Go. alpeis adj. 'old' ( < \*alpja-), ON ellri comp. 'id.', OE eald adj. 'id.', E old, OFri. aid, auld adj. 'id.', OS aid adj. 'id.', Du. oud adj. 'id.', OHG alt adj. 'id.', G alt adj. 'id.'",pdf-text-headword-found,
aldi-,,f.,age,58,DRV,\*h₂e/-tf- (DRV),"Go. alps f. 'generation, age', ON pld f. 'age', pl. 'mankind'",pdf-text-headword-found,
aldo(n)-,,f.,hollow (of a tree),59,NEUR,\*Ho/dh-eh₂- (NEUR),"ON alda f. 'wave, roller', Icel. alda f. 'wave, small land ridge', Far. alda f. 'wave', Nw. aide f. 'wave', dial. aide, olde 'billow, rivulet, well, (wooden) trough', Sw. dial. alla 'furrow, vessel', OE aldaht, a/dot 'trough(?), channel(?)', G Bav. a/den 'furrow'",pdf-text-headword-found,
aldra-,,n.,"age, life( span)",59,DRV,\*h₂el-tro- (DRV),"Go. fram-aldrs\* adj. 'aged', ON aldr m. 'id.', OE aldor n. 'life; age', OS aldar n. 'id.', MDu. ouder n. 'id.', OHG altar, aldar n. 'id.', G Alter n. 'id.'",pdf-text-headword-found,
algi-,1,m.,elk,59,IE,\*h₁ol-lt-i- (IE),"ON elgr m. 'id.', Far. elgur m. 'id.'",pdf-text-headword-found,
algi·,2,m.,slush,59,GM?,,"Icel. elgur m. 'slush, melting snow' (GM?). The word has been connected to Lat. a Igor m. 'cold', which may reflect an s-stem \*h₂elg<hl-os- (Liden 1897: 66), but in spite of the fact that the PGm. form \*algi-, too, can theoretically have evolved from an s-stem \*algiz- (cf. \*hwali- 'whale'), it is more likely to be related to Far. elgja w.v. 'to pour (down the throat)' < \*algjan-. Also note that the identification of Ice!. elgur with ON elgr\*, as found in the kennings alpj6iJ elgjar ga/ga and ceoiveors elgjar, is uncertain, as it probably means 'elk' (see \*algi- 2) in these contexts (cf. De Vries 1962: 100; Heide 2001). Related to ODu. alk- top. 'mud'?",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
algjan-,,w.v.,to be nauseated,59,GM,,"Icel. elgja w.v. 'id.', Nw. elgja w.v. 'id.' (GM). A verb reminiscent of \*walk/gon- (q.v.). Also cf. WFri. algje w.v. 'to be disgusted' < \*algi5jan-.",pdf-text-headword-found,
algojan-,,w.v.,to protect,59,IE,\*h₂elk-eh₂-ie-? (IE),"OE ealgian, algian w.v. 'to defend'",pdf-text-headword-found,
alh-,,m.,temple,60,NIE,\*a/k- (NIE),"Go. a/hs, dat. a/h m. 'id.', OE ealh m. 'id.'",pdf-text-headword-found,
alino-,,f.,forearm; cubit,60,IE,\*Heh₃/-en-eh₂- (IE),"Go. aleina f. 'cubit, ell', ON pin f. 'forearm; cubit', Far. a/in f. 'ell', Elfd. aln f. 'id.', OE eln f. 'id.', E ell, MDu. elne, el/en, elle f. 'forearm; cubit', Du. el c. 'cubit', OHG elena, elna f. 'id.', G Elle f. 'id.'",pdf-text-headword-found,
aliskon-,,w.v.,to tend to(?),60,GM,,"ON elska w.v. 'to love', Far. a/ska, elska w.v. 'id.' (GM). A derivative of \*a/an- 'to grow; to rear', cf. Da. op-elske 'to grow (e.g. plants), to raise (cattle)' (Magnusson 1989: 152). Definitely unrelated to ON elja f. 'concubine' < \*aljon- and \*lustu- 'desire' (q.v.).",pdf-text-headword-found,
alis/z-,,m.,alder,60,EUR,\*a/is- (EUR),"ON p/r, air m. 'id.', Nw. or, older m. 'id.', OE a/or, a/er m. 'id.', E alder, MDu. else m. 'id.', Du. els c. 'id.', OHG erila, elira f. 'id.', G Erle f. 'id.'",pdf-text-headword-found,suspicious-headword-characters
alja-,,pron.,someone else,61,IE,\*h₂el-io- (IE),Go. aljis\* pron. 'id.',pdf-text-headword-found,
aljana-,,n.,zeal,61,IE,,"ON elj'an n./f. 'endurance, energy', OE el/en n. 'courage', OS el/ean n. 'courage, power', OHG ellian, el/an n. 'courage', MHG el/en n. 'zeal, courage' (IE) - Hitt. balai - balijanzi 'to set in motion' < \*h₂l-6i-ei, \*h₂/-i-enti; Gr. laMw 'to send off, to stretch forth' < \*h₂i-h₂l-ie-. A formation created with the neuter •-ana-suffix (cf. \*akrana-), perhaps to an unattested verb \*aljan-. In view of the original meaning 'zeal', I assume a connection with the aforementioned Hittite and Greek forms, but others have compared e.g. Lat. a/acer adj. 'lively'. Also cf. ON e/ta w.v. 'to pursue' < \*a/-atjan-.",pdf-text-headword-found,
alkon-,,f.,auk,61,EUR?,,"ON alka f. 'razor-bill', Far. ci/ka f. 'id.', OE ea/ce f. 'auk', E auk (EUR?) - To Lat. olor m. 'swan' < \*h₁el-or-; Olr. elu 'id.' < \*h₁el-on-; W a/arch 'id.' < \*h₁el-r-sk-o-? A formation apparently derived from the root \*al{/)- as continued by Sw. al-/6.gel 'long-tailed duck', dial. al m. 'id.' < \*ala- and Ice!. haf-el/a, hciv-ella, Far. 6gv-e/la f. 'id.' < \*a/ljon- (Torp 1909: 22; Magnusson 1989: 11 ). For the k-suffix, see \*balika/on- 'coot' and \*habuka- 'hawk'. If E obs. elk 'swan' belongs here, too, the connection with Lat o/or 'swan' gains some credibility. Modern E auk can be analyzed as a Norse loan.",pdf-text-headword-found,
alla-,,adj.,all,61,,,"Go. alls adj. 'all, every', ON al/r adj. 'all, entire, whole', OE ea/I adj. 'all', OFri. al, of adj. 'all', OHG al{/) adj. 'all, every, complete'",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
h₂el-n6-,,(EUR),,61,GM,\*h₂el-u-(?) (GM).,"Osc. allo adj.f. 'whole' < \*h₂el-neh₂-; Olr. ui/e adj. 'all', Lith. aliaiadv. 'completely' (with the adv. suffix -ai] < \*h₂0/-io-. The double I in Gm. developed out of the cluster -In-, cf. \*Julia- 'full'. The originally suffixless form still occurs as \*ala-, cf. Go. ala-, ON al-, OE ;;el-, OS, OHG ala- in compounds, cf. Go. ala-brunst'OA.6KaucrTov'. •a/up- n. 'ale, beer' - ON {JI n. 'beer', OE ea/op n. 'ale', OS alo-fat n. 'ale-vat', MDu. ale, ael n. 'id.', MHG al-schaf n. 'ale vessel'",not-found-in-pdf-text-layer,missing-or-unparsed-gloss
amaitjo·,,f.,ant,62,DRY?,,"OE kmette f. 'id.', E ant, MDu. amete, emete, eemt f. 'id.', OHG ameiza f. 'id.', G Ameise f. 'id.' (DRY?). Origin unclear. The word is usually assumed to be a compound with the root of \*maitan- 'to cut', but the form and origin of the first element is difficult to establish. One could reconstruct \*uz-maitjo- ""out-cutter"" in which unstressed \*uz would give PWGm. \*a. I personally find it more attractive to connect \*emon- 2 'larva'. The word may then be a haplologized compound \*emo-maitjo- ""larva cutter"". A third option is to assume a substrate word connected with Gr. μtoa<; 'destructive insect in beans'. The Germanic word must then be analyzed as having an a-prefix (cf. \*arut- 'ore') c…",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
amazan·,,m.,bunting,62,unidentified bird,,"OE omer, amore 'scorellus (unidentified bird)', E yellow-hammer, OHG amoro m. 'bunting', MHG amer, amoro m. 'bunting' (GM). No extra-Gm. cognates. Formally compatible with \*ams/On- 'blackbird' (q.v.).",pdf-text-headword-found,
ambahta-,,m.,servant,62,Lw,,"Go. andbahts m. 'servant, minister', MDu. ambacht m. 'servant', OHG ambaht m. 'servant, employee, official', MHG ambet, amt m. 'servant, caretaker' (Lw). A loanword from Celtic, cf. Gaul. ambactus 'vassal', W amaeth m. 'servant' < \*h₂mbhi- 'around' (cf. \*umbl) + \*h₂eg-to- 'goer' (see \*akan- 1). Unlike PCelt. \*rig- 'king' (see \*rik-), the word entered Germanic after the great sound shifts. Also cf. ON amb<itt f. 'bondwoman; concubine' < \*ambahto-.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
amban-,,m.,belly,62,IE,\*h₃embh-on- (IE),"OS ambon pl. 'id.', OHG amban 'id.'",pdf-text-headword-found,
am(m)on-,,w.v.,to irritate,62,IE,\*h₃emh₃-neh₂- (IE),"ON ama w.v. 'to vex, molest', Ice!. ama w.v. 'to trouble, vex', Far. ama w.v. 'to spend', Nw. ama, amma w.v. 'to chafe, grate; incite'",pdf-text-headword-found,
ampra-,,adj.,"sharp, sour",63,IE,\*Hom-ro- (IE),"ON apr adj. 'hard, sharp; sad', Nw. amper adj. 'bitter' ( « LG), MDu. amper adj. 'sour, bitter, harsh', Du. amper adv. 'barely'",pdf-text-headword-found,
ampra/on-,,m./f.,"sorrel, dock",63,DRV,\*h₂;3em-ro- (DRV),"OE ampre, ompre f. 'sorrel; varicose vein', OHG ampfaro m. 'sorrel', G Ampfer m. 'id.'",pdf-text-headword-found,suspicious-headword-characters
amsa-,,m.,shoulder,63,IE,\*h₃em-so- (IE),"Go. ams\* m. 'id.', Nw. cis m. 'hill, ridge', Elfd. qs m. 'ridge'",pdf-text-headword-found,
amslon-,,f.,blackbird,63,NIE,\*a-ms/- (NIE),"OE osle f. 'id.', E ousle, OHG amsala f. 'id.', G Amsel f. 'id.'",pdf-text-headword-found,
ana,,"prep., adv.","on(to), to, by",64,IE,"\*h₂enf,iz (IE)","Go. ana prep. 'on, at, during, in', ON a prep./adv. 'on(to)', Far. a prep./adv. 'on, at', Elfd. q prep./adv. 'on', OE on prep./ adv. 'id.', E on, OFri. on, an, en, in prep./adv. 'id.', OS an prep./ adv. 'id.', Du. aan prep./ adv. 'id.', OHG ana, an prep./adv. 'id.', G an prep./ adv. 'id.'",pdf-text-headword-found,
anad-,,f.,duck,64,IE,\*h₂enh₂-et- (IE),"ON pnd, pl. endr f. 'id.', Far. ont, pl. entur f. 'id.', Elfd. and f. 'id.', OE amid, cened, ened f. 'id.', WFri. ein c. 'id.', MDu. aent, eent m./f. 'duck', OHG anut, enit f. 'id.', G Ente f. 'id.'",pdf-text-headword-found,
anadan-,,m.,breath; spirit,64,DRY,\*h₂enhreto- (DRY),"ON andi m. 'breath; mind', Far. andi m. 'id.', Elfd. ande m. 'spirit', OE anda, onda m. 'envy, anger, zeal', ME onde 'breath, emotion, envy', OS ando m. 'offense', OHG anado m. 'emulation, envy', MHG ande m. 'hurt'",pdf-text-headword-found,
andiz,,adv.,"earlier, rather",65,IE,\*h₂ent-is (IE),"ON enn adv. 'rather, than; again', Far. enn adv. 'id.', OE end adj. 'formerly, of old', OHG enti adv. 'earlier'",pdf-text-headword-found,
andja-,,m.,"end, extreme",65,IE,\*h₂ent-i6- (IE),"Go. andeis m. 'end, extremity', ON endir m. 'end', OE ende m. 'end, back', E end, OFri. e(i)nda m. 'end, verdict', OS endi m. 'beginning, end, aim', Du. eind n. 'end', OHG anti, enti m./n. 'end, edge, front', MHG ente, ende m./n. 'end, direction', G Ende n. 'end'",pdf-text-headword-found,
and/a-,,m.(?),saltmarsh grass,65,GM,,"OFri. ondul, andel 'id.', LG andel 'id.' (GM). An originally Frisian word without a certain etymology. The comparison with Skt. and has- n. 'sprout of the Soma-plant' ( = PFU \*ant3, cf. Komi od 'spring greens, germ, sprout'), Gr. av-Oo<; n. 'flower' < \*h₂endh-os- (cf. Schwenter 1951: 244) is semantically weak.",pdf-text-headword-found,suspicious-headword-characters
andura-,,m.,"snow-shoe, skid(?)",65,IE,\*h₁ondh-ur- (IE),"ON pndurr m. 'id.', Nw. onder f. 'the shorter ski of two', Elfd. andur m. 'id.'",pdf-text-headword-found,
angan-,,m.,curve; neck,66,,,"Go. \*hals-agga m. 'neck', ON angi m. 'tip, jag', Far. angi m. 'vertebral process; cog, tooth, prong', Nw. dial. ang-boge m. 'id.', OHG ango m. 'hinge, cardinal point; prickle', G Swab. hals-anke f. 'neck' â",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
h₂enk-6n-,,(IE),,66,,,"Gr. ayKwv m. 'curve, elbow' < \*h₂enk-on-; Skt. arika- m. 'hook, clamp', Gr. oyKo<; n. 'hook', Gr. oyKO<; adj. 'curved' < \*h₂onk-o-. An n-stem of considerable antiquity, probably formed to an adjective \*h₂onk-6-. See also \*angra- 1.",not-found-in-pdf-text-layer,missing-or-unparsed-gloss
angaza-,,m.,worry,66,IE,\*h₂emgh-os-o- (IE),"ON angr m. 'grief, Far. angur m. 'repentance, remorse', poet. 'anxiety, worry'",pdf-text-headword-found,
angra-,1,m.,"lowland, meadow",66,EUR,\*h₂enk-r6- (EUR),"ON angr m. 'bay', MDu. anger m. 'meadow, enclosed piece of land', OHG angar m. 'uncultivated meadow', MHG anger m. 'grassland'",pdf-text-headword-found,
angra-,2,m.,weevil,66,NEUR,\*h₂engwh-ro- (NEUR),"OHG angar m. 'corn weevil', G Engerling 'cockchafer grub'",pdf-text-headword-found,
ang_ula-,,m.,"hook, tip",66,IE,\*h₂enk-ul-6- (IE),"ON r;mgull m. 'angle, hook', OE ongel m. 'fishing-rod', E angle, MLG angel m. 'prickle, sting; hinge', OHG angul m. 'fishing-rod, prick, hook'",pdf-text-headword-found,
angwu-,,adj.,narrow,66,IE,\*h₂emgh-u- (IE),"Go. aggwus adj. 'id.', ON engr adj. 'id.', OE enge adj. 'id.', OFri. enge adj. 'id.', WFri. eang adj. 'afraid', EFri. ong adj. 'id.', MDu. enghe adj. 'narrow', Du. eng adj. 'scary; narrow', OHG angi, engi adj. 'narrow', G eng adj. 'id.'",pdf-text-headword-found,
anhula-,,m.,"shoot, tip",67,IE,\*h₂enk-ul-o- (IE),"ON (Jll, all m. 'shoot'",pdf-text-headword-found,
anhulo-,,f.,strap,67,IE,\*h₂enk-ul-eh₂- (IE),"ON (JI, al f. 'belt, strip', Far. al f. 'strap, belt; stretch', OE ol-pwang 'halter, snare, strap'",pdf-text-headword-found,
ankjon-,,f.,ankle,67,DRV,\*h₂eng-ieh₂- (DRV),"ON ekkja f. 'heel', OHG ancha, encha f. 'ankle'",pdf-text-headword-found,
ankon-,,'w.v.,to complain,67,IE?,\*h₃enh₃-(?) (IE?),"MLG anken w.v. 'to moan, grunt'",pdf-text-headword-found,
ankula-,,m.,ankle,67,IE,\*h₂eng-ul- (IE),"ON pk/a, pkkla n., pkli m. 'id.', Far. ekil m. 'id.', Elfd. okkel m. 'id.', OFri. ankel m./n. 'id.', MDu. ankel m. 'id.', Du. enkel c. 'id.', OHG enchil m. 'id.', G Enke/ m. 'id.'",pdf-text-headword-found,
ankwan-,,m.,butter,67,IE,\*h₃ngw-n(IE),"OHG ancho m. 'id.', MHG anke m. 'id.'",pdf-text-headword-found,
ansa-,,m.,beam,68,of a hill,,"Go. ans m. 'wooden beam', ON ass m. 'thick pole, beam, yard of a sail', Far. asur m. 'lath; axle, shaft; post', Nw. as m. 'axle, beam, hill, ridge (of a hill)', Elfd.guov-qs m. 'joist', MHG ans-boum m. 'beam' (GM). Of unclear origin. The alleged link with Skt. anas-, Lat onus n. 'load' < \*h₃en-os- is doubtful because the required intermediate meaning ""carrier beam"" is unattested. It has been suggested that ON ass is identical to \*amsa'shoulder' (q.v.) < \*h₃em-os-, but the two words are kept distinct in Gothic. The connection with Lat. asser m. 'wooden beam' (Petersson 1921: 19) is phonologically impossible. Also cf. Fi. ansas 'beam'.",pdf-text-headword-found,
ansjo-,,f.,"handle, ring, eyelet",68,IE,\*h₂ens-ieh₂ (IE),"ON ;es f. 'thread-hole in a shoe', Far. ;es f. 'id.', WFri. oes c. 'eyelet', MLG ose f. 'ring-shaped handle'",pdf-text-headword-found,
ansti-,,f.,"love, favor",68,DRV,\*h₃enh₂-sti- (DRV),"Go. ansts f. 'beneficence, grace', ON ast f. 'love, affection', Far. ast f. 'id.', OE est m./f. 'favor, consent, grace', OFri. evest 'envy', OS anst f. 'grace', OHG anst f. 'thanks, favour, grace'",pdf-text-headword-found,
ansu-,,m.,god,68,IE,\*h₂ems-u- (IE),"ON ass, 6ss, pl. ;esir m. 'id.', OE OS m. 'id.', OS as, OS m. 'id.', OHG ans(i)- prop. 'id.'",pdf-text-headword-found,
anpara-,,adj./num.,"the other (of two), the second",68,IE,\*h₂en-tero- (IE),"Go. anpar num. 'id.', ON annarr pron./num. 'id.', Far. annar pron./num. 'id.', OE ooer adj./num. 'id.', E other, OFri. other adj./num. 'id.', OS othar, athar, andar adj. 'other', Du. ander adj. 'id.', OHG andar adj. 'id.', G andere adj. 'id.'",pdf-text-headword-found,
aran-,1,m.,eagle,70,IE,\*h₃er-on- (IE),"Go. ara m. 'id.', ON ari, prn m. 'id.', Da. fdrn c. 'id.' (>> Far. tJrn f.), OE earn m. 'id.', Du. arend c. 'id.', OHG aro, arn m. 'id.', MHG are, ar m. 'id.', G Aar m. 'id.'",pdf-text-headword-found,
aran-,2,m.,phalanx bone(?),70,IE?,\*h₂erh₂-on-(?) (IE?),"OSw. are m. 'part of the thumb, phalanx(?)'",pdf-text-headword-found,
arba-,,m./n.,"working animal, worker(?)",70,IE,\*h₃orbh-o- (IE),ON arfr m. 'ox',pdf-text-headword-found,
arbja-,,n.,inheritance,71,IE?,\*h₃orbh-io- (IE?),"ON arfr m. 'inheritance, patrimony' (< \*arba-), OE ierfe n. 'inheritance', OFri. erve n. 'id.', OS erbi n. 'id.', OHG arbi, erbi n. 'id.', G Erbe n. 'id.'",pdf-text-headword-found,
arbjan-,,m.,heir,71,DRV,\*h₃0rbh-ion(DRV),"Go. arbja m. 'id.', OE ierfe m. 'id.', OFri. erva m. 'id.', MDu. erve m. 'id.', OHG arbeo, erbeo m. 'id.', G Erbe m. 'id.'",pdf-text-headword-found,
arduga-,,adj.,steep,71,IE,\*h₃erdhu-ko- (IE),"ON prougr adj. 'id.', Far. erdugur adj. 'id.'",pdf-text-headword-found,
arfan-(?),,m.,chickweed,72,GM,,"ON arfi m. 'id.', Far. arvi m. 'id.', Nw. arve m. 'id.', OE ear/an m.pl. 'id.', LG arf'id.', Du. erff. 'id.' (GM). The word is often assumed to be a loanword from Lat. ervum n. 'cultivated vetch', but as the Germanic forms consistently mean 'chickweed', the semantic match remains imperfect. For another word for 'chickweed', cf. \*meurja-.",pdf-text-headword-found,suspicious-headword-characters
arga-,,adj.,unmanly,72,IE,\*h₃orgh-o- (IE),"ON argr adj. 'unmanly, cowardly; lewd', Far. argur adj. 'wicked; greedy; infuriated', OE earg adj. 'cowardly, timid', OFri. erch adj. 'evil, wrong', MLG arch adj. 'angry, evil', MDu. arch, erch adj. 'bad, evil, worthless', Du. erg adj. 'bad', OHG arg, arag adj. 'greedy, cowardly'",pdf-text-headword-found,
arhwo-,,f.,arrow,72,EUR,\*h₂erk-uh₂- (EUR),"ON pr f. 'id.', Far. flJrv f. 'id.', OE earh f. 'id.', E arrow",pdf-text-headword-found,
arjan-,,s.v.,to plow,72,IE,\*h₂erh₃-ie- (IE),"Go. arjan\* s.v.(?) 'id.', ON erja w.v. 'id.', OE erian w.v. 'id.', OFri. era, ara w.v. 'id.', OHG erien, erren pret. iar 'id.', MHG ern s.v. 'id.'",pdf-text-headword-found,
arma-,1,m.,arm,73,IE,\*h₂erH-m- (IE),"Go. arms m. 'id.', ON armr m. 'id.', OE earm m. 'id.', E arm, OFri. erm m. 'id.', OS arm m. 'id.', Du. arm c. 'id.', OHG aram m. 'id.', G Arm m. 'id.'",pdf-text-headword-found,
arnja-,,adj.,serious,73,IE,,"Go. arniba adv. 'certain, securely', ON ern adj. 'brisk, vigorous' (IE) - Av. aranu- 'battle' < \*Her-nu-. Also cf. OE eornest n. 'seriousness', E earnest, OHG ernust, ernist, G Ernst m. 'strife, serfousness' < \*ernusta-.",pdf-text-headword-found,
arsa-,,m.,arse,73,IE,\*h₁ors-o- (IE),"ON ars, rass m. 'id.', OE ears m. 'id.', OFri. ers m. 'id.', OS ors m. 'id.', Du. aars c. 'id.', OHG ars m. 'id.', G Arsch m. 'id.' (with -rs- > -rs- ad in Barsch < \*barsa-)",pdf-text-headword-found,
arto(n)-,,f.,wagtail?,74,Baikal,,"ON arta f. 'a species of teal, garganey' (also cf. ertla f. 'wagtail' < \*artilon-), Ice!. urt, ort f. 'teal', Sw. arta 'garganey', Elfd. arta f. '(Baikal) teal', OE earte f. 'pied wagtail' (NIE?) - ?Gr. tpcpot6<; (with secondary iota subscriptum), tpw6L6<;, pWOLW<;, apwot6<; m. 'heron' < \*h₁;2r0Hd-io-, ?Lat. ardea f. 'id.' < \*h₂er(H}d-eh₂-, ?SCr. r6da f. 'stork' < \*Hrodh-eh₂-(?). Uncertain etymology. The sound correspondences in the alleged cognates are highly irregular, and hamper the reconstruction of a PIE word, e.g. \*Herh₃<l-h₂, gen. \*Hrh₃d-h₂-6s. It is possible that the word was borrowed from a Pre-IE language in Europe. Perhaps the initial a- of PGm. \*arto(n)can be explained as …",pdf-text-headword-found,
arpon-,,f.,crupper?,74,IE,,"Nw. arde, ore m./f. 'steel ring to fasten the saddle with', OSw. arpa f. 'crupper', Elfd. arda f. 'ring on a harness' ::) \*h₂er-teh₂-(?) (IE). The word can be related to PIE \*h₂er- 'to fit together'. Or perhaps rather to \*arpra- 'plow'?",pdf-text-headword-found,
arpra-,,m.,scratch plow,74,IE,,"Go. ardrs m. 'plow', ON aror m. 'id.', OSw. arper n. 'id.', Sw. arder n. 'id.', MHG arl f. 'plowshare' ::) \*h₂erh₃-tro- (IE) - Identical to Arm. (h)arawr 'plow', Gr. CipoTpov n. 'id.', Lat aratrum n. 'id.', Olr. arathar n./m. 'id.', W aradr 'id.', Lith. cirklas m., Latv. afk/s m. 'id.', OCS ralo, Ru. rcilo, Pol. radio, SCr. riilo n. 'id.' (with dissimilation of\*-tro- to \*-tlo-). Formed to the root of \*arjan- with the instrumental suffix \*-tro-, variant of \*-dhro-. It is to be noted that ON aror is ambiguous regarding the dental, \*p and \*d having merged into o in this position. Cf. with a different suffix MHG arl m. 'small plow'.",pdf-text-headword-found,
