entry_headword_and_label	entry_text
*axtuđōn ~ *axtuþōn num.	Goth ahtuda ‘eighth’, ON átte id., OHG ahtodo id. Other forms, ON áttandi, OFris achtunda, MLG achtende and the like, were restructured under the influence of *sebunđan ~ *sebunþan. Torp-Falk 8; Feist 18; Vries ANEW 17; Ross-Berns Numerals 629–630; Boutkan OFED s.v.
*axurnaz sb.m.	OS ahorn ‘maple’, OHG ahorn id. Derivationally close to Gk ἀκαρνα: δάφνη (Hes.), Lat acernus ‘of maple-tree’. Connected with *axiraz ~ *axuraz. Walde-Hofmann I 6–7; Pokorny I 20; Lloyd-Springer I 110– 113; Kluge-Seebold 20–21.
*axwa-đukkōn sb.f.	ODan à-dokke ‘waterdock’, OE éa-docce id. Compound of *axwō and *dukkōn. Onions 280.
*axwalaz sb.m.	ON soä-áll ‘flesh-hook’ (= Lat fuscinula), OE neut. awel ‘awl’, OHG ahil ‘point of the ear (of corn)’. Derivationally similar to Lat aculeus ‘spine’, W ebil ‘drill’ < *a˚⁄īlƒo-. Connected with IE *a˚- ‘sharp’, see *azanō ~ *axanō. Torp-Falk 8; Holthausen AEEW 8; Walde-Hofmann I 11; Pokorny I 19; Chemodanov SGGJa I 63, 107; Vries ANEW 6.
*axwō sb.f.	Goth aƕa ‘flowing body of water, river’, ON á ‘river’, OE eá ‘running water, stream’ (root stem), OFris ā, ē id., OS aha id., OHG aha id. Identical with Lat aqua id. Zupitza Gutt. 60; Torp-Falk 9; Bonfante IF LII 225; Holthausen AEEW 82; Walde- Hofmann I 60; Feist 18–19; Porzig Gliederung 100–101, 205–207 (on the relation with *ap- ‘river’); Wagner KZ LXXV 67 (to *e˚⁄os); Jungandreas Zd Ph LX 113 (ON to Gmc theon. ON Yngvi, OE Inz, OS Ing); Pokorny I 23; Chemodanov SSGJa I 54; Vries ANEW 1; Zalizniak II 205; Onions 487; Lehmann GED 12–13; Bammesberger Nom. 199; Lloyd-Springer I 99–103; Kluge- Seebold 11; Boutkan OFED s.v.
*aiđaz sb.m.	Crim. Goth sched-iit ‘light’, OE ád ‘funeral pile’, OS ēd ‘firebrand’, OHG eit id. Identical with Skt édha- ‘fuel’, Gk αἶθος ‘firebrand’, OIr áed ‘fire’. Pedersen Kelt. Gr. I 57; Torp-Falk 2; Wood JEGP XIII 504; Holthausen AEEW 2; Feist 414; Mayrhofer I 128; Pokorny I 11; Frisk I 37–38; Lehmann GED 298.
*aiđsōn sb.f.	ON eisa ‘glowing embers’, MLG ēse ‘hearth’. Derived from *aiđaz. Reflects an original s-stem *aidhes-. Torp-Falk 3; Vries ANEW 97–98; Pokorny I 12.
*aizanan ~ *aizenan sb.n.	Goth aigin ‘belongings, possessions, property’, ON eigin ‘one’s own, of property’, OE ázen ‘property’, OFris ēgin, ein id., OS ēgan id., OHG eigan id. Substantivized *aizanaz ~ *aizenaz. Holthausen AEEW 10; Vries ANEW 95; Seebold 69–70.
*aizanaz ~ *aizenaz adj.	ON eiginn ‘own’, OE ázen id., OFris ein, egen id., OS ēgan id., OHG eigan id. Past participle of *aixa. Torp-Falk 1; Holthausen AEEW 10; Vries ANEW 96; Onions 638; Boutkan OFED s.v.
*aizenan sb.n.	ON eigin ‘seed’, MLG īne ‘shoot, sprout’. Related to Lith áiža ‘crack, rift’, áižëti ‘to be peeled’, éižëti ‘to jump up, to start up’. Fick III 2 (to *ai˚- ‘spear’); Torp-Falk 2; Bezzenberger BB XXVII 166; Pokorny I 15; Fraenkel 4; Vries ANEW 95–96.
*aizenōjanan wk.vb.	Goth ga-aiginon ‘to appropriate’, ON eigna ‘to dedicate, to attribute’. Cf. also *aizenēnan in OE áznian ‘to possess, to own, to appropriate’, MLG ēgenen id., OHG eigenēn ‘to take possession of’. Derived from *aizanaz ~ *aizenaz. Holthausen AEEW 3; Feist 20; Vries ANEW 96; Lehmann GED 14; Kluge- Seebold 209.
*aizōn sb.f.	ON eiga ‘ownership, property’, OE áze ‘property’. Derived from *aixa. Holthausen AEEW 3; Vries ANEW 95; Seebold 69.
*aizwiskaz adj.	Goth un-aiwisks ‘blameless’, OE æwisc ‘disgraced, ashamed, abashed’, MLG eisch ‘hateful’. Related and structurally similar to Gk αἶσχος ‘shame’ < *aig⁄hsko- (Fick I 345–346), cf. *aizwjanan > OE æwan ‘to despise, to scorn’ (Wood MLN XVI 309). Torp- Falk 2 (to Gk αἶσχος ‘shame’); Holthausen AEEW 14; Feist 30; Pokorny I 14; Frisk I 146–47; Mezger KZ LXXIX 38–41 (to *aiwaz ~ *aiwiz); Beck Gedenkschr. Güntert 53, 55; Puhvel IF LXXXIII 138 (agrees with Mezger); Seebold KZ LXXXI 123; Lehmann GED 21; Kluge- Seebold 214.
*aixa str.vb.	Goth aih ‘to have, to own’, ON á id., OE áh id., OFris aga, hāga id., OS pl. ēgun id., OHG pl. eigun id. Related to Toch B aik- ‘to know, to recognize’, Skt īśe, īṣṭe ‘to possess, to own’, Av aēs- ‘to dominate’ (Pedersen Gr. 31). Schweizer KZ I 153; Bartholomae 26; Torp-Falk 1; Feist 20; Holthausen AEEW 10; Jóhannesson IEW 46; Mayrhofer I 96; Pokorny I 299; Zalizniak I 150; Vries ANEW 95; Onions 638; Seebold 69–72; Lehmann GED 14; Kluge-Seebold 208–209; Adams TB 101–102; Boutkan OFED s.v.
*aixtiz sb.f.	Goth aihts ‘belongings, possessions, property’, ON ætt, átt ‘family, race’, OE æht ‘possessions, property, power’, OHG ēht ‘property, power’. Derivative in *-ti- of *aixa. Close to Av īšti- ‘ability, power, property’. Bartholomae 376–377; Torp-Falk 1; Holthausen AEEW 10; Feist 20; Mezger WZUG VI 218–220; Pokorny I 298–299; Zalizniak I 150; Seebold 70; Lehmann GED 14; Bammesberger Nom. 143.
*aikanan str.vb.	Goth af-aikan ‘to deny, to abjure’, OHG in-eihhan ‘to claim’ (gloss, = in-sagēn). Related to MIr éigid ‘to shout’. Further cf. *aixtrōjanan > Goth aihtron ‘to beg, to pray’, a denominative based on the unattested *aixtra- = Gk οἰκτρός ‘pitiable’. Bezzenberger Zd Ph V 229–230 (from *ai·- ‘to spring’); Sütterlin IF IV 101 (to Gk εἶπον ‘to speak, to say’); Grienberger Goten 4 (to Gk ἠμί ‘to say’); Torp-Falk 1; Uhlenbeck PBB XXVII 114 (to Slav *izъ ‘out, from’); Feist 3; Foes JEGP XLII 270 (to Gk οἶκτος ‘waiting’, MIr éigid ‘to cry’), Goth. 2–3; Bailey BSOAS XXI 536–538 (to Toch en- ‘to instruct’, Gk ἀναίνομαι ‘to refuse, to renounce, to spurn’); Pokorny I 298; Frisk II 361– 362; Seebold 72–73; Lehmann GED 2.
