example_id,pdf_page,split_file,heading,text
4.6,304,05-chapter-4-lexicon-and-semantics.md,4.3.3.5 Interrogation,(4.6)       a. μπουρείς μου\ncan.2sg q\n‘Can you (do it)?’ (Standard Greek: μπορείς?)\nb. θαρτ’ς         μου\nfut.come.2sg q\n‘Will you come?’ (Standard Greek: θά ‘ρθεις?)
4.7,310,05-chapter-4-lexicon-and-semantics.md,4.3.4.1.1 Detailed Case Study A: ‘either ... or’,"(4.7)       a. było nie     było, zrobimy                  to                                           (Pol)\nwas neg was           do.pfv.prs.1pl it\nb. kako da      e,       kje                 go napravime                           toa    (Mac)\nhow dms is            fut                 it   do.pfv.prs.1.pl                   it\n‘no matter what (Polish ‘let it be/not be’), we will do it’"
4.8,310,05-chapter-4-lexicon-and-semantics.md,4.3.4.1.1 Detailed Case Study A: ‘either ... or’,"(4.8)           Buło pryiti,       to    ja skazała by ...                (Ukrainian)\nwas     come.inf then I      say.cond\n‘If [someone] would come, I would say ... ’"
4.9,314,05-chapter-4-lexicon-and-semantics.md,4.3.4.1.2 Detailed Case Study B: An Expressive Connector,"(4.9)       a. έλα ντε ‘C’mon already!’\nb. σταμάτα ντε ‘Stop it, OK!’"
4.10,330,05-chapter-4-lexicon-and-semantics.md,4.3.5 Lexical Vocatives and Related Elements,"(4.10)      a. abré        Thrace\nambré       Epirus, Greek Macedonia\namóre       Greek Macedonia\nára         Velvendos (North)\naré         Evia, Thessaly, Greek Macedonia, Skiathos, Central Greece\náre         Greek Macedonia\navré        Thessaly\nbre         (widespread, in Standard Modern Greek and elsewhere)\nembré       Propontis\népre        Pontic\nípre        Cappadocia\nmár         Paros\nmaré        Epirus, Thasos, Thessaly, Thrace, Imbros, Kalymnos, Leros, Lemnos,\nMykonos, Paros, Peloponnesos, Rhodes, Samos, Skyros, Central\nGreece, Tinos\nmáre       Mykonos, Pontic\nmári       Thessaly, Greek Macedonia\nmaró       Vithynia\nmbré       Greek Macedonia\nmór        Zakynthos, Thessaly, Peloponnesos\nmoré       (widespread, in Standard Modern Greek and elsewhere)\nmóre       Epirus, Pontic\nmorés      Zakynthos, Corfu, Greek Macedonia\nmúr        Syros\nmuré       northern dialects, including Lesbos; Karpathos, Rhodes"
4.11,333,05-chapter-4-lexicon-and-semantics.md,4.3.6 Onomatopoeia and Related Words,"(4.11)          Albanian:        mjau\nBulgarian:       myau\nRomanian:        miau\nGreek:           νιάου ([niau])\nTurkish:         miyav, miyauv"
4.12,334,05-chapter-4-lexicon-and-semantics.md,4.3.6 Onomatopoeia and Related Words,"(4.12)          Albanian          ham-ham\nAromanian         ham-ham, gap-gap"
4.13,336,05-chapter-4-lexicon-and-semantics.md,4.3.7.1 Whole-Word Reduplication,"(4.13)          Alb      copa-copa ‘all in pieces’ (Newmark 1998: s.v.)\ncopëra-copëra ‘piece by piece’ (Seliščev 1925: 53, from the 1802"
4.14,342,05-chapter-4-lexicon-and-semantics.md,4.3.7.2.2 Turkish m-Reduplication,(4.14)          Alb      shiri-miri ‘confusion’ (Schuchardt 1888: 68; Meyer 1891: s.v)\ncingra-mingra ‘trivia’\nçikla-mikla ‘tiny bits and pieces; crumbs; trivia’
4.15,344,05-chapter-4-lexicon-and-semantics.md,4.3.7.3 Other Reduplications,"(4.15)          Trk      çatra-patra ‘incorrectly and brokenly (speaking a foreign language)’\nçıtır pıtır ‘with a sweet babble (said of the talking of a child), prattling’\nçat pat ‘a little, some (ability in speaking a language)’"
4.16,367,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.16)       Trk: yağmur yemek ‘get soaked’ (lit., ‘rain eat’)\nbok yemek ‘say something stupid’ (lit., ‘shit eat’)\nkötek yemek ‘get a beating’ (lit., ‘a.blow eat’)"
4.17,369,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.17)          Alb:      e di shqip? ‘Do you know (= speak) Albanian?’\n(lit., ‘it know.2sg Albanian’)\nGrk:      ξέρεις ελληνικά? ‘Do you know (= speak) Greek?’\nRmi:      džane[s] romane[s] ‘Do you know (= speak) Romani?’\nMac:      znaeš po-našinski ‘Do you know (= speak) our (language)?’\nTrk:      türkçe biliyor musun ‘Do you know (= speak) Turkish?’\n(= “the.Turkish.way(adv) know (bil-) q-you”)"
4.18,369,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.18)          Alb      me gjithë priftiu ‘with the priest’ (lit., ‘with all the.priest’)\nMac      sose baltija ‘with the axe’ (lit., ‘with.all the-axe’)"
