category	form	line	pdf_page	source_page	context
bracket_phonetic	[+son, +cont]	2077	pdf-123	107	[retr] There are both syllabic and nonsyllabic l- and r-sounds, which are [+son, +cont]; the former are [+cor, +ant], the latter [+cor, −ant, retr].
bracket_phonetic	[+cor, +ant]	2077	pdf-123	107	[retr] There are both syllabic and nonsyllabic l- and r-sounds, which are [+son, +cont]; the former are [+cor, +ant], the latter [+cor, −ant, retr].
bracket_phonetic	[+cor, −ant, retr]	2077	pdf-123	107	[retr] There are both syllabic and nonsyllabic l- and r-sounds, which are [+son, +cont]; the former are [+cor, +ant], the latter [+cor, −ant, retr].
slash_phonemic	/-ana-/	2079	pdf-123	107	The retroflex assimilation rule can be described informally as follows. When the dental nasal n follows a retroflex continuant (i.e. s., r, or syllabic r̥ ) within the word and is itself immediately followed by a sonorant, it becomes retroflex n. –that is, it assimilates to the preceding retroflex c
slash_phonemic	/d/	2083	pdf-123	107	b. nr̥ s. ádanam ‘assembly of men’ (blocked by /d/)
slash_phonemic	/-ná-/	2085	pdf-123	107	But though n. blocks the assimilation from a distance, as the last example shows, it does not do so in contact; that is, nn is assimilated to n. n., not half-assimilated to “n. n.” Note the following derivations of past participles formed with the suffix /-ná-/:
slash_phonemic	/ni-sad-ná-/	2087	pdf-123	107	b. /ni-sad-ná-/ →nis.adná- →nis.anná- →nis.an. n. á- ‘having sat down’ (Retroflexion of the sibilant is effected by the notorious “ruki-rule,” by which /s/ becomes retroflex immediately following dorsals, rhotics, and high vocalics.) Any analysis needs to account for all these details.
slash_phonemic	/s/	2087	pdf-123	107	b. /ni-sad-ná-/ →nis.adná- →nis.anná- →nis.an. n. á- ‘having sat down’ (Retroflexion of the sibilant is effected by the notorious “ruki-rule,” by which /s/ becomes retroflex immediately following dorsals, rhotics, and high vocalics.) Any analysis needs to account for all these details.
bracket_phonetic	[−cor]	2095	pdf-123	107	[−cor]  [+cor] [+cor]  [+cor] [−cor]
bracket_phonetic	[+cor]	2095	pdf-123	107	[−cor]  [+cor] [+cor]  [+cor] [−cor]
bracket_phonetic	[labial]	2096	pdf-123	107	[labial] [+ant] [−ant]  [−ant] [dorsal]
bracket_phonetic	[+ant]	2096	pdf-123	107	[labial] [+ant] [−ant]  [−ant] [dorsal]
bracket_phonetic	[−ant]	2096	pdf-123	107	[labial] [+ant] [−ant]  [−ant] [dorsal]
bracket_phonetic	[dorsal]	2096	pdf-123	107	[labial] [+ant] [−ant]  [−ant] [dorsal]
slash_phonemic	/t/	2101	pdf-123	107	(4)       a. nivártanam ‘return’         (blocked by /t/)
slash_phonemic	/c/	2102	pdf-123	107	c. prarécanam ‘remainder’     (blocked by the palatal stop /c/)
slash_phonemic	/j/	2103	pdf-123	107	d. vr̥ jánam ‘place’            (blocked by the palatal stop /j/)
slash_phonemic	/ś/	2104	pdf-123	107	e. dáŕsanam ‘sight’           (blocked by the palatal fricative /ś/)
slash_phonemic	/n/	2105	pdf-123	107	f. prān. anaḿ     ‘breathing’       (blocked by n., ←/n/ by this rule)
slash_phonemic	/tr̥ d-ná-/	2106	pdf-123	107	(5)       a. /tr̥ d-ná-/ →tr̥ nná- →tr̥ n. n. á- ‘split’
bracket_phonetic	[+cor]	2111	pdf-124	108	An autosegmental account of the above is the following. The [+cor] segments occupy a tier of their own (cf. Schein and Steriade 1986: 695), and the assimilation takes place on that tier. The trigger is any segment that is [+cont, retr] and the target is any coronal nasal that is immediately followed
bracket_phonetic	[+cont, retr]	2111	pdf-124	108	An autosegmental account of the above is the following. The [+cor] segments occupy a tier of their own (cf. Schein and Steriade 1986: 695), and the assimilation takes place on that tier. The trigger is any segment that is [+cont, retr] and the target is any coronal nasal that is immediately followed
bracket_phonetic	[retr]	2111	pdf-124	108	An autosegmental account of the above is the following. The [+cor] segments occupy a tier of their own (cf. Schein and Steriade 1986: 695), and the assimilation takes place on that tier. The trigger is any segment that is [+cont, retr] and the target is any coronal nasal that is immediately followed
bracket_phonetic	[−ant]	2111	pdf-124	108	An autosegmental account of the above is the following. The [+cor] segments occupy a tier of their own (cf. Schein and Steriade 1986: 695), and the assimilation takes place on that tier. The trigger is any segment that is [+cont, retr] and the target is any coronal nasal that is immediately followed
bracket_phonetic	[+ant]	2111	pdf-124	108	An autosegmental account of the above is the following. The [+cor] segments occupy a tier of their own (cf. Schein and Steriade 1986: 695), and the assimilation takes place on that tier. The trigger is any segment that is [+cont, retr] and the target is any coronal nasal that is immediately followed
bracket_phonetic	[+nas, +son, −cont, +cor, +ant]	2111	pdf-124	108	An autosegmental account of the above is the following. The [+cor] segments occupy a tier of their own (cf. Schein and Steriade 1986: 695), and the assimilation takes place on that tier. The trigger is any segment that is [+cont, retr] and the target is any coronal nasal that is immediately followed
slash_phonemic	/spénd-sa-i/	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
slash_phonemic	/hel-ónt-si/	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
slash_phonemic	/pánt-sa/	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
bracket_phonetic	[repeatedly]	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
bracket_phonetic	[nom. pl.]	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
