entry_number,first_author_or_label,year,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,reference
239,Peters,1989,342,342,353,353,"Peters, M. (1989). ‘Indogermanische Chronik 33. G. Altgriechisch’, Die Sprache 33: 227–329."
240,Peters,1991,342,342,353,353,"Peters, M. (1991). ‘Ein tocharisches Auslautproblem’, Die Sprache 34: 242–4."
241,Pinault,1982,342,342,353,353,"Pinault, G.-J. (1982). ‘A neglected phonetic law: the reduction of the Indo-European laryngeals in internal syllables before yod’, in Ahlqvist, A. (ed.), Papers from the Fifth International Conference on Historical Linguistics (Amsterdam: Benjamins) 265–72. Pinault, G.-J. (2006a). ‘Retour sur le numéral “un” en tokharien’, Indogermanische Forschungen 111: 71–97. Pinault, G.-J. (2006b). ‘Sur l’évolution phonétique tsk > tk en tokharien commun’, Münchener Studien zur Sprachwissenschaft 62: 103–56."
242,Piwowarczyk,2015,342,342,353,353,"Piwowarczyk, D. (2015). ‘The Proto-Indo-European *-Vts# clusters and the formulation of Szemerényi’s Law’, Indogermanische Forschungen 120: 269–78."
243,Pohl,2000,342,342,353,353,"Pohl, W. (2000). Die Germanen. Munich: R. Oldenbourg."
244,Pokorny,1959,342,342,353,353,"Pokorny, J. (1959). Indogermanisches etymologisches Wörterbuch. Bern: Francke."
245,Probert,2006,342,342,353,353,"Probert, P. (2006). ‘Clause boundaries in Old Hittite relative sentences’, Transactions of the Philological Society 104: 17–83."
246,Prokosch,1939,342,342,353,353,"Prokosch, E. (1939). A comparative Germanic grammar. Philadelphia: Linguistic Society of America."
247,Radford,2004,342,342,353,353,"Radford, A. (2004). Minimalist syntax. Cambridge: Cambridge University Press."
248,Randall,2015,342,342,353,353,"Randall, W., and Jones, H. (2015). ‘On the early origins of the Germanic preterite presents’, Transactions of the Philological Society 113: 137–76."
249,Rasmussen,1983,342,342,353,353,"Rasmussen, J. E. (1983). ‘Two phonological issues in Germanic’, Acta Linguistica Hafniensia 18: 201–19. [Reprinted in Rasmussen 1999: 82–99.]"
250,Rasmussen,1996,342,342,353,353,"Rasmussen, J. E. (1996). ‘On the origin of the Germanic weak preterite’, Copenhagen Working Papers in Linguistics 4: 161–8. [Reprinted in Rasmussen 1999: 597–603.]"
251,Rasmussen,1999,342,342,353,353,"Rasmussen, J. E. (1999). Selected papers on Indo-European linguistics, with a section on comparative Eskimo linguistics. Copenhagen: Museum Tusculanum."
