section,subsection,group,entry,page_refs,notes,raw_entry,source_line_start,source_line_end
I. Protoforms,A. Proto-Indo-European,,*dn̥ǵʰwáh₂- ~ *dn̥ǵʰuh₂-́,58; 62 (parad.),"58, 62 (parad.)","*dn̥ǵʰwáh₂- ~ *dn̥ǵʰuh₂-́ 58, 62 (parad.)",144,144
I. Protoforms,A. Proto-Indo-European,,*dóm- ~ *dém-,57; 23,57; *dṓm 23,*dóm- ~ *dém- 57; *dṓm 23,146,146
I. Protoforms,A. Proto-Indo-European,,*déms pótis,57; 80,"57, 80","*déms pótis 57, 80",147,147
I. Protoforms,A. Proto-Indo-European,,*dóru ~ *dréw-,58; 60-1 (parad.); 118,"58, 60-1 (parad.) 118","*dóru ~ *dréw- 58, 60-1 (parad.) 118",148,148
I. Protoforms,A. Proto-Indo-European,,*dr̥ḱtós,101; 117,"101, 117","*dr̥ḱtós 101, 117",149,149
I. Protoforms,A. Proto-Indo-European,,*dus-,72; 124,"72, 124","*dus- 72, 124",150,150
I. Protoforms,A. Proto-Indo-European,,*dwó,67; 233; 66; 318; 118; 146; 34,"67, 233; *dwáh₂ih₁ 66; *dwóy(h₁) 66, 318; *dwóh₁ 66, 118, 146, 318 with fn. 34","*dwó 67, 233; *dwáh₂ih₁ 66; *dwóy(h₁) 66, 318; *dwóh₁ 66, 118, 146, 318 with fn. 34",151,153
I. Protoforms,A. Proto-Indo-European,,*dyew- ~ *diw-,15; 23; 76; 19,"15, 23, 76; *diḗm, *dyḗm 19, 23","*dyew- ~ *diw- 15, 23, 76; *diḗm, *dyḗm 19, 23",154,155
I. Protoforms,A. Proto-Indo-European,,*deywós,15; 59; 152,"15, 59, 152","*deywós 15, 59, 152",156,156
I. Protoforms,A. Proto-Indo-European,,*diwyós,76,76,*diwyós 76,157,157
I. Protoforms,A. Proto-Indo-European,,*dʰedʰórse,178; 10,178 *dʰegʷʰ - 10,*dʰedʰórse 178 *dʰegʷʰ - 10,158,160
I. Protoforms,A. Proto-Indo-European,,*dʰéǵʰōm ~ *ǵʰm-́,58; 60-1 (parad.); 21; 26,"58, 60-1 (parad.); *dʰ(e)ǵʰem-, *dʰéǵʰōm, */dʰǵʰém/, *ǵʰmés 21; *ǵʰdʰsém 21, 58; *ǵʰmáh₂ ~ *ǵʰm̥áh₂ 26","*dʰéǵʰōm ~ *ǵʰm-́ 58, 60-1 (parad.); *dʰ(e)ǵʰem-, *dʰéǵʰōm, */dʰǵʰém/, *ǵʰmés 21; *ǵʰdʰsém 21, 58; *ǵʰmáh₂ ~ *ǵʰm̥áh₂ 26",161,164
